Time,PPG
12.4872213333333,0.39283
12.4880213333333,0.39128
12.4888213333333,0.38955
12.4896213333333,0.38763
12.4904213333333,0.38553
12.4912213333333,0.38324
12.4920213333333,0.38076
12.4928213333333,0.37809
12.4936213333333,0.37523
12.4944213333333,0.37218
12.4952213333333,0.36893
12.4960213333333,0.3655
12.4968213333333,0.36188
12.4976213333333,0.35807
12.4984213333333,0.35407
12.4992213333333,0.34989
12.5000213333333,0.34553
12.5008213333333,0.34099
12.5016213333333,0.33627
12.5024213333333,0.33137
12.5032213333333,0.3263
12.5040213333333,0.32106
12.5048213333333,0.31565
12.5056213333333,0.31008
12.5064213333333,0.30433
12.5072213333333,0.29843
12.5080213333333,0.29236
12.5088213333333,0.28613
12.5096213333333,0.27975
12.5104213333333,0.27322
12.5112213333333,0.26654
12.5120213333333,0.25971
12.5128213333333,0.25274
12.5136213333333,0.24564
12.5144213333333,0.2384
12.5152213333333,0.23103
12.5160213333333,0.22354
12.5168213333333,0.21593
12.5176213333333,0.20819
12.5184213333333,0.20034
12.5192213333333,0.19237
12.5200213333333,0.1843
12.5208213333333,0.17611
12.5216213333333,0.16781
12.5224213333333,0.1594
12.5232213333333,0.15088
12.5240213333333,0.14226
12.5248213333333,0.13352
12.5256213333333,0.12468
12.5264213333333,0.11572
12.5272213333333,0.10666
12.5280213333333,0.09749
12.5288213333333,0.08821
12.5296213333333,0.07882
12.5304213333333,0.06933
12.5312213333333,0.05972
12.5320213333333,0.05002
12.5328213333333,0.04021
12.5336213333333,0.03029
12.5344213333333,0.02028
12.5352213333333,0.01016
12.5360213333333,-5e-05
12.5368213333333,-0.01037
12.5376213333333,-0.02078
12.5384213333333,-0.03128
12.5392213333333,-0.04188
12.5400213333333,-0.05256
12.5408213333333,-0.06334
12.5416213333333,-0.07421
12.5424213333333,-0.08516
12.5432213333333,-0.0962
12.5440213333333,-0.10733
12.5448213333333,-0.11854
12.5456213333333,-0.12984
12.5464213333333,-0.14122
12.5472213333333,-0.15268
12.5480213333333,-0.16421
12.5488213333333,-0.17583
12.5496213333333,-0.18751
12.5504213333333,-0.19927
12.5512213333333,-0.2111
12.5520213333333,-0.223
12.5528213333333,-0.23496
12.5536213333333,-0.247
12.5544213333333,-0.25909
12.5552213333333,-0.27125
12.5560213333333,-0.28346
12.5568213333333,-0.29574
12.5576213333333,-0.30807
12.5584213333333,-0.32046
12.5592213333333,-0.33291
12.5600213333333,-0.34541
12.5608213333333,-0.35796
12.5616213333333,-0.37056
12.5624213333333,-0.38322
12.5632213333333,-0.39592
12.5640213333333,-0.40868
12.5648213333333,-0.42148
12.5656213333333,-0.43433
12.5664213333333,-0.44723
12.5672213333333,-0.46018
12.5680213333333,-0.47318
12.5688213333333,-0.48622
12.5696213333333,-0.49931
12.5704213333333,-0.51245
12.5712213333333,-0.52564
12.5720213333333,-0.53887
12.5728213333333,-0.55214
12.5736213333333,-0.56545
12.5744213333333,-0.57881
12.5752213333333,-0.5922
12.5760213333333,-0.60562
12.5768213333333,-0.61907
12.5776213333333,-0.63255
12.5784213333333,-0.64605
12.5792213333333,-0.65956
12.5800213333333,-0.67309
12.5808213333333,-0.68663
12.5816213333333,-0.70018
12.5824213333333,-0.71372
12.5832213333333,-0.72726
12.5840213333333,-0.74079
